week_start,store_id,week_revenue,week_gross_profit,company,region,city,store_format,footfall,op_cost_weekly,net_profit
2025-01-06,S0001,1108.8539432113837,592.9539432113836,Waterstones,London,London,Medium,2430,18500.0,-17907.046056788615
2025-01-06,S0002,366.74236596041135,200.54236596041136,Waterstones,London,London,Small,1349,15725.0,-15524.457634039589
2025-01-06,S0003,1109.9769709844943,606.0769709844943,Waterstones,London,London,Large,2781,23125.0,-22518.923029015506
2025-01-06,S0004,893.9438749254355,475.6438749254355,Waterstones,London,London,Medium,2540,18500.0,-18024.356125074566
2025-01-06,S0005,796.4200151334985,427.52001513349853,Waterstones,London,London,Medium,2140,18500.0,-18072.479984866502
2025-01-06,S0006,700.8518370924936,373.45183709249363,Waterstones,London,London,Small,2035,15725.0,-15351.548162907506
2025-01-06,S0007,617.6270719055174,335.5270719055174,Waterstones,London,London,Small,1603,15725.0,-15389.472928094483
2025-01-06,S0008,1064.518249493405,575.218249493405,Waterstones,London,London,Medium,2483,18500.0,-17924.781750506594
2025-01-06,S0009,901.709511975677,480.80951197567697,Waterstones,London,London,Small,2015,15725.0,-15244.190488024324
2025-01-06,S0010,579.4551725688805,307.75517256888054,Waterstones,South East,Oxford,Small,1691,15725.0,-15417.24482743112
2025-01-06,S0011,692.5467845751657,374.6467845751658,Waterstones,South East,Oxford,Small,1870,15725.0,-15350.353215424835
2025-01-06,S0012,736.2623359468962,395.1623359468962,Waterstones,South East,Portsmouth,Medium,2197,18500.0,-18104.837664053102
2025-01-06,S0013,951.8478897837027,499.8478897837027,Waterstones,South East,Portsmouth,Large,2642,23125.0,-22625.1521102163
2025-01-06,S0014,671.7169908537943,360.61699085379433,Waterstones,South East,Oxford,Small,1795,15725.0,-15364.383009146206
2025-01-06,S0015,812.924016114455,440.32401611445493,Waterstones,South East,Reading,Medium,2393,18500.0,-18059.675983885543
2025-01-06,S0016,431.6756412427479,233.07564124274788,Waterstones,South East,Portsmouth,Small,1602,15725.0,-15491.924358757253
2025-01-06,S0017,754.3637678335928,413.86376783359276,Waterstones,South East,Reading,Medium,2346,18500.0,-18086.136232166406
2025-01-06,S0018,797.3050825896341,426.80508258963414,Waterstones,South West,Bristol,Medium,2384,18500.0,-18073.194917410365
2025-01-06,S0019,731.2415695017129,397.94156950171293,Waterstones,South West,Bath,Medium,2170,18500.0,-18102.058430498288
2025-01-06,S0020,477.3239379350319,256.52393793503194,Waterstones,South West,Bournemouth,Small,1634,15725.0,-15468.476062064969
2025-01-06,S0021,834.8024982528012,446.9024982528013,Waterstones,South West,Bath,Medium,2265,18500.0,-18053.097501747197
2025-01-06,S0022,535.6584062718383,285.05840627183835,Waterstones,South West,Plymouth,Small,1576,15725.0,-15439.941593728161
2025-01-06,S0023,763.4318159964083,405.9318159964083,Waterstones,East of England,Cambridge,Medium,2105,18500.0,-18094.06818400359
2025-01-06,S0024,588.8677849961592,312.4677849961592,Waterstones,West Midlands,Birmingham,Medium,2242,18500.0,-18187.53221500384
2025-01-06,S0025,799.0962218025417,425.7962218025417,Waterstones,West Midlands,Birmingham,Medium,2347,18500.0,-18074.203778197458
2025-01-06,S0026,663.2744169499142,355.17441694991413,Waterstones,West Midlands,Wolverhampton,Medium,2200,18500.0,-18144.825583050086
2025-01-06,S0027,662.2896157677512,349.38961576775125,Waterstones,West Midlands,Coventry,Medium,2136,18500.0,-18150.610384232248
2025-01-06,S0028,536.2054601202631,283.4054601202631,Waterstones,West Midlands,Coventry,Medium,2013,18500.0,-18216.594539879738
2025-01-06,S0029,553.2571351653786,293.85713516537857,Waterstones,West Midlands,Coventry,Small,1859,15725.0,-15431.142864834621
2025-01-06,S0030,557.8141946369002,302.7141946369002,Waterstones,East Midlands,Leicester,Small,1675,15725.0,-15422.285805363099
2025-01-06,S0031,546.1709496656441,291.4709496656441,Waterstones,North West,Liverpool,Small,1905,15725.0,-15433.529050334357
2025-01-06,S0032,677.0391935422908,362.13919354229085,Waterstones,North West,Lancaster,Medium,1938,18500.0,-18137.86080645771
2025-01-06,S0033,919.4083365000129,492.7083365000129,Waterstones,North West,Liverpool,Medium,2361,18500.0,-18007.291663499986
2025-01-06,S0034,799.8736498945282,424.2736498945282,Waterstones,North West,Preston,Medium,2231,18500.0,-18075.726350105473
2025-01-06,S0035,623.8082298146654,339.10822981466544,Waterstones,North East,Middlesbrough,Small,1850,15725.0,-15385.891770185335
2025-01-06,S0036,686.8845702325284,369.4845702325284,Waterstones,North East,Newcastle,Medium,2397,18500.0,-18130.51542976747
2025-01-06,S0037,426.6863950170121,233.9863950170121,Waterstones,North East,Newcastle,Medium,1888,18500.0,-18266.01360498299
2025-01-06,S0038,732.2657988299444,393.6657988299444,Waterstones,Yorkshire & Humber,Hull,Medium,2325,18500.0,-18106.334201170055
