company,store_id,gross_profit_gbp,revenue_gbp,units,age_16-24,age_25-34,age_35-44,age_45-54,age_55+,seg_Students,seg_Young Professionals,seg_Working Class,seg_Arts/Media,seg_Commuters,seg_Tourists,region,city_tier
WHSmith,WH-000,946.38,1743.71,160,0.12221777311129425,0.21789967173216282,0.2468432039684201,0.2221468429375489,0.19089250825057388,0.10331265253653721,0.1299656410005789,0.09463178040568512,0.298755972026073,0.19951337790157192,0.1738205761295538,West Midlands,Tier 2 (large town)
WHSmith,WH-001,836.98,1516.31,133,0.10487277384400635,0.17416486977160775,0.2023736119767972,0.21255884920333382,0.30602989520425483,0.30844263698868335,0.1869869080310927,0.23047235099342406,0.03219426688674574,0.23459780017821055,0.007306036921843712,London,Tier 3 (small town)
WHSmith,WH-002,345.86,616.66,57,0.14162734508134517,0.17427528960976923,0.20782694395948648,0.20283778305534364,0.27343263829405545,0.028889485691112427,0.4156207174261763,0.14547283864306115,0.03788215982761936,0.12412597288222191,0.24800882552980882,North East,Tier 3 (small town)
WHSmith,WH-003,1729.13,3092.53,278,0.1782600679350869,0.30057517164448533,0.19164713895068144,0.16294868871757073,0.16656893275217546,0.3447260073405131,0.08876070933855734,0.19545498175266282,0.08730164986792638,0.1872306368791219,0.09652601482121852,Yorkshire and the Humber,Tier 1 (major city)
WHSmith,WH-004,808.88,1463.6299999999999,134,0.13294133910955352,0.22473069428267678,0.2711518193109689,0.1602447771549755,0.2109313701418254,0.04645975796631892,0.08842348873177684,0.19389615460835155,0.17857796468655104,0.3298831886406424,0.16275944536635928,East of England,Tier 2 (large town)
WHSmith,WH-005,1132.58,2081.7400000000002,187,0.13163201613169948,0.2199897594313254,0.21677306376595215,0.20295911615449264,0.22864604451653023,0.05785398272788513,0.4295654803972517,0.07715834637576753,0.010689293018975558,0.09834997862997193,0.326382918850148,East Midlands,Tier 2 (large town)
WHSmith,WH-006,2580.28,4701.02,421,0.1749233141939988,0.2638492685281804,0.2080793653057887,0.193791885012264,0.15935616695976812,0.25425739163836997,0.05172737413696654,0.035638649829633176,0.3162889838951512,0.12514226271780232,0.2169453377820768,London,Tier 1 (major city)
WHSmith,WH-007,704.13,1239.48,107,0.1253081889720594,0.19378627200594192,0.1941905422517876,0.22779034445091606,0.258924652319295,0.197264711903615,0.15100765452206524,0.43245638123759156,0.08227782306390234,0.042136312979907,0.094857116292919,Yorkshire and the Humber,Tier 3 (small town)
WHSmith,WH-008,1118.89,2027.62,183,0.13840311617500822,0.2348287500432714,0.21105318178254365,0.20674128385050716,0.20897366814866963,0.1990293120414692,0.01435730666491027,0.05882847326035103,0.11102741776583881,0.527793120269053,0.08896436999837762,North West,Tier 2 (large town)
WHSmith,WH-009,1939.85,3509.7,315,0.17198118249939834,0.2859025258580302,0.17537830905018434,0.17663577970239241,0.19010220288999463,0.1277788280965618,0.36832404260518586,0.0927034574476862,0.2535045665438935,0.07497845496315973,0.0827106503435128,South East,Tier 1 (major city)
WHSmith,WH-010,995.33,1782.25,157,0.1679891955064773,0.20022070941651887,0.2496602655821603,0.1782684279558584,0.20386140153898513,0.5207547230015649,0.13087507624786965,0.06955927315083607,0.11192684012093682,0.14652658752379383,0.020357499954998717,South West,Tier 2 (large town)
WHSmith,WH-011,1973.85,3573.44,334,0.2038019373336694,0.25965260285135605,0.2222161443731638,0.15787275644469753,0.15645655899711328,0.1366155565481534,0.2556611415444612,0.31768124596913516,0.08845020620386661,0.13405412648235532,0.06753772325202839,Yorkshire and the Humber,Tier 1 (major city)
WHSmith,WH-012,798.8199999999999,1411.04,127,0.1310640284263406,0.19983102509266817,0.2317146007338506,0.20355469852248595,0.23383564722465475,0.5343139195171971,0.10895056413795866,0.045448539099489704,0.03096562361846597,0.11284710412973112,0.16747424949715758,South West,Tier 2 (large town)
WHSmith,WH-013,869.48,1556.8899999999999,141,0.19510566022258993,0.1996295487326884,0.2095347844597806,0.16473319206101233,0.23099681452392867,0.29654625975822607,0.025416774953000557,0.032706275863599095,0.18806387037037833,0.23955917168212398,0.21770764737267187,South East,Tier 2 (large town)
WHSmith,WH-014,1719.49,3145.09,287,0.1863117440035538,0.30076343548009316,0.18711519704055699,0.17009818015286055,0.15571144332293554,0.1575971151860995,0.13382596009698253,0.17364478911289177,0.1074353726948662,0.32263113538627797,0.10486562752288209,North West,Tier 1 (major city)
WHSmith,WH-015,818.92,1501.09,142,0.11258144084152977,0.2315973615112309,0.22195981249307223,0.2025929611059124,0.23126842404825457,0.012046910143297649,0.15849761023644024,0.13839360437283799,0.19219542514208404,0.23345700798450794,0.2654094421208321,East Midlands,Tier 2 (large town)
WHSmith,WH-016,1969.25,3535.53,315,0.15817629001645522,0.2858305606488434,0.2310310315838844,0.19593548951543294,0.12902662823538402,0.16080577409730007,0.17992963562014697,0.26446765654432824,0.16618826047793742,0.16961734733064285,0.058991325929644456,North East,Tier 1 (major city)
WHSmith,WH-017,1110.55,2036.5,184,0.16312434290508182,0.2579883247915256,0.20637901041198017,0.1887238539046174,0.18378446798679496,0.20915310874666115,0.12422748603203873,0.09086736268075081,0.12134493649668439,0.3250118567123738,0.12939524933149107,South East,Tier 2 (large town)
WHSmith,WH-018,1506.54,2712.12,247,0.15793091406635135,0.19213786253492238,0.23320594527115407,0.178379370046569,0.23834590808100312,0.340808071542411,0.15566866705603535,0.22138385411077457,0.1493919829105713,0.1001682303582744,0.032579194021933384,South East,Tier 2 (large town)
WHSmith,WH-019,1611.39,2907.42,260,0.14198500398075933,0.29162438395145995,0.25359370199926407,0.19650384129472118,0.11629306877379555,0.39761519002375506,0.12793055395057062,0.013798821284875145,0.05856228525693968,0.040513956580852994,0.36157919290300644,West Midlands,Tier 1 (major city)
WHSmith,WH-020,1120.6,2056.98,183,0.14361003588479632,0.19960213661917614,0.2422492508170213,0.21256658438947826,0.20197199228952803,0.265806801844644,0.05239259991420119,0.34083144653520386,0.12827331497436056,0.05873089460078381,0.15396494213080655,West Midlands,Tier 2 (large town)
WHSmith,WH-021,2188.75,3912.05,348,0.19739640698711017,0.27656260512917674,0.24079352288828726,0.18937123501947264,0.09587622997595324,0.48574238296785516,0.0967740710876597,0.12400871092484099,0.05021147044880598,0.01922128995112121,0.224042074619717,London,Tier 1 (major city)
WHSmith,WH-022,716.32,1285.46,120,0.112199254777938,0.16534622609541016,0.22507075303588644,0.2430122985002984,0.25437146759046697,0.07758293186767039,0.30678091377464634,0.40798942895588963,0.031283438954814405,0.06720967898150416,0.10915360746547498,North West,Tier 3 (small town)
WHSmith,WH-023,576.88,1042.97,92,0.08685755678412371,0.19602409061929396,0.18640108510299327,0.23303340528421346,0.2976838622093754,0.06861938926079596,0.18079696207223875,0.01892278795441926,0.1857583004393109,0.43288514814935863,0.11301741212387639,East of England,Tier 3 (small town)
WHSmith,WH-024,948.81,1703.17,161,0.15873936725739454,0.21456070592210622,0.22221559255760404,0.20222412397600145,0.20226021028689375,0.1583115893475463,0.08596042446569493,0.16422483199338783,0.0633172555787914,0.38399173162616856,0.14419416698841103,East of England,Tier 2 (large town)
